recorte,ano,mes,chuva_media_mm,mediana_mm,min_mm,max_mm,p90_mm,area_seca_pct,pixels
"Bacia completa",1981,01,307.2,300.7,57.9,857.3,441.1,0.0,32213
"Bacia completa",1981,02,283.4,266.0,59.8,1144.6,438.2,0.0,32213
"Bacia completa",1981,03,247.1,255.4,34.2,666.0,345.7,0.0,32213
"Bacia completa",1981,04,142.7,133.7,6.4,576.8,232.1,3.3,32213
"Bacia completa",1981,05,72.6,54.2,0.5,485.2,144.5,16.1,32213
"Bacia completa",1981,06,34.3,31.4,0.0,125.7,60.9,36.2,32213
"Bacia completa",1981,07,14.3,10.2,0.0,92.4,29.6,86.1,32213
"Bacia completa",1981,08,40.0,35.5,0.9,135.3,69.8,26.1,32213
"Bacia completa",1981,09,85.8,76.0,4.4,423.5,138.8,1.9,32213
"Bacia completa",1981,10,140.8,137.1,8.6,470.3,215.7,2.9,32213
"Bacia completa",1981,11,194.9,191.8,16.0,898.9,292.1,0.3,32213
"Bacia completa",1981,12,254.8,246.1,51.3,680.1,355.5,0.0,32213
"Bacia completa",1982,01,282.5,282.4,50.6,735.4,408.1,0.0,32213
"Bacia completa",1982,02,268.2,263.7,38.2,725.7,410.9,0.0,32213
"Bacia completa",1982,03,264.3,250.8,38.6,983.2,410.9,0.0,32213
"Bacia completa",1982,04,142.4,141.2,4.9,484.5,222.3,3.1,32213
"Bacia completa",1982,05,69.3,61.6,0.4,349.7,130.6,15.5,32213
"Bacia completa",1982,06,54.4,36.8,0.0,332.6,120.0,34.5,32213
"Bacia completa",1982,07,37.5,30.6,0.0,206.7,76.3,41.0,32213
"Bacia completa",1982,08,48.8,48.5,0.3,200.5,79.5,17.4,32213
"Bacia completa",1982,09,96.7,86.9,2.4,510.4,164.7,7.8,32213
"Bacia completa",1982,10,126.2,121.4,9.2,533.2,205.7,1.9,32213
"Bacia completa",1982,11,201.7,187.7,19.2,878.6,310.7,0.1,32213
"Bacia completa",1982,12,218.0,213.3,20.9,622.8,331.5,0.0,32213
"Bacia completa",1983,01,256.0,251.4,40.4,734.6,369.1,0.0,32213
"Bacia completa",1983,02,205.8,205.9,28.6,727.8,311.5,0.0,32213
"Bacia completa",1983,03,190.8,190.0,17.3,612.4,291.4,0.2,32213
